,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
125,Jodhpur to Ajmer,Gajraj Travels,A/C Seater/Sleeper (2+1),19:30,23:50,04h 20m,INR 950,34 Seats available,2.5
126,Jodhpur to Ajmer,Jakhar Travels,A/C Seater / Sleeper (2+1),19:45,00:45,05h 00m,INR 850,40 Seats available,2.9
127,Jodhpur to Ajmer,Jain travels regd,AC Sleeper (2+1),20:00,00:30,04h 30m,INR 950,36 Seats available,2.5
128,Beawar (Rajasthan) to Jaipur (Rajasthan),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
129,Udaipur to Jodhpur,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
130,Jaipur (Rajasthan) to Jodhpur,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
131,Sikar to Jaipur (Rajasthan),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
132,Kishangarh to Jaipur (Rajasthan),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
133,Aligarh (uttar pradesh) to Jaipur (Rajasthan),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
134,Jodhpur to Beawar (Rajasthan),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
135,Kota(Rajasthan) to Jaipur (Rajasthan),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
136,Jaipur (Rajasthan) to Aligarh (uttar pradesh),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
137,Jaipur (Rajasthan) to Kota(Rajasthan),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
138,Pali (Rajasthan) to Udaipur,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
139,Udaipur to Pali (Rajasthan),no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
140,Sikar to Bikaner,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
141,Jaipur (Rajasthan) to Bharatpur,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
142,Kishangarh to Jodhpur,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
143,Jaipur (Rajasthan) to Bhilwara,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
144,Kota(Rajasthan) to Udaipur,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
145,Jaipur (Rajasthan) to Pilani,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
146,Jaipur (Rajasthan) to Mathura,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
147,Bikaner to Sikar,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found,no-data-found
